"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"298",12,"Darnell Washington",PIT,"TE41","24","206","357","267.3","47.3","-"
"299",12,"Chase McLaughlin",TB,"K10","30","208","347","289.6","33.1","-"
"300",13,"Jalen Milroe",SEA,"QB43","23","246","312","269.2","18.9","-"
"301",13,"Colby Parkinson",LAR,"TE42","27","238","356","282.9","36.9","-"
"302",13,"Evan Engram",DEN,"TE43","31","205","348","283.0","41.6","-"
"303",13,"Evan McPherson",CIN,"K11","27","210","340","293.1","34.1","-"
"304",13,"Chris Brooks",GB,"RB83","26","224","390","284.1","47.5","-"
"305",13,"Mike Gesicki",CIN,"TE44","30","230","359","284.2","34.4","-"
"306",13,"Eli Heidenreich",PIT,"RB84","23","205","357","273.3","47.1","-"
"307",13,"Ja'Tavion Sanders",CAR,"TE45","23","207","348","284.7","40.9","-"
"308",13,"Ben Sinnott",WAS,"TE46","24","211","344","284.7","34.2","-"
"309",13,"Marcus Mariota",WAS,"QB44","32","254","324","276.6","19.1","-"
"310",13,"Keenan Allen",LAC,"WR114","34","228","389","280.2","54.3","-"
"311",13,"Isaac Guerendo",SF,"RB85","26","288","396","321.1","30.0","-"
"312",13,"Cole Kmet",CHI,"TE47","27","199","319","273.1","38.1","-"
"313",13,"Taylen Green",CLE,"QB45","23","247","338","273.5","24.2","-"
"314",13,"Cade Klubnik",NYJ,"QB46","22","250","331","274.9","24.9","-"
"315",13,"Tyler Loop",BAL,"K12","24","205","335","275.9","31.2","-"
"316",13,"Tahj Brooks",CIN,"RB86","24","284","365","313.7","21.9","-"
"317",13,"Will Howard",PIT,"QB47","24","252","340","288.8","25.7","-"
"318",13,"Jacksonville Jaguars",JAC,"DST12","-","198","354","292.1","43.5","-"
"319",13,"Andrei Iosivas",CIN,"WR115","26","257","337","293.0","22.3","-"
"320",13,"Quinn Ewers",MIA,"QB48","23","239","333","282.7","25.6","-"
"321",13,"Trevor Etienne",CAR,"RB87","22","272","368","311.4","27.8","-"
"322",13,"Jake Bates",DET,"K13","27","221","352","294.4","35.0","-"
"323",13,"Cole Payton",PHI,"QB49","23","242","326","269.6","24.6","-"
"324",13,"Will Shipley",PHI,"RB88","23","282","397","326.4","32.9","-"
"325",13,"Caleb Douglas",MIA,"WR116","22","235","315","274.1","28.8","-"
"326",13,"Jake Moody",WAS,"K14","26","219","369","287.6","42.2","-"
"327",13,"Jake Tonges",SF,"TE48","27","218","352","289.0","48.6","-"
"328",13,"Jameis Winston",NYG,"QB50","32","258","358","292.8","30.9","-"
"329",13,"Jerome Ford",WAS,"RB89","26","245","402","327.7","45.9","-"
"330",13,"Darius Slayton",NYG,"WR117","29","235","391","296.1","50.3","-"
"331",13,"LeQuint Allen Jr.",JAC,"RB90","21","276","367","323.3","28.9","-"
