"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"263",12,"Kevin Coleman Jr.",MIA,"WR106","22","194","325","240.6","35.3","-"
"264",12,"Los Angeles Rams",LAR,"DST4","-","202","303","254.8","25.7","-"
"265",12,"Kirk Cousins",LV,"QB41","37","244","281","258.5","10.3","-"
"266",12,"Cedric Tillman",CLE,"WR107","26","237","326","271.0","31.2","-"
"267",12,"Brandon Aubrey",DAL,"K1","31","197","319","248.9","26.5","-"
"268",12,"Hollywood Brown",PHI,"WR108","29","229","399","273.5","52.1","-"
"269",12,"Jalen Royals",KC,"WR109","23","211","350","274.6","32.4","-"
"270",12,"Pittsburgh Steelers",PIT,"DST5","-","203","330","265.8","32.1","-"
"271",12,"Devaughn Vele",NO,"WR110","28","234","379","288.8","47.2","-"
"272",12,"Cam Little",JAC,"K2","22","200","331","257.3","32.9","-"
"273",12,"Seattle Seahawks",SEA,"DST6","-","196","314","258.4","36.8","-"
"274",12,"Najee Harris",LAC,"RB76","28","242","385","291.3","35.4","-"
"275",12,"Sam Roush",CHI,"TE40","22","221","322","272.8","36.1","-"
"276",12,"DeMario Douglas",NE,"WR111","25","236","303","260.8","26.4","-"
"277",12,"Minnesota Vikings",MIN,"DST7","-","217","330","274.1","26.3","-"
"278",12,"Drew Allar",PIT,"QB42","22","241","334","274.6","29.5","-"
"279",12,"Cooper Kupp",SEA,"WR112","33","228","387","276.4","50.0","-"
"280",12,"Isaiah Davis",NYJ,"RB77","24","278","358","297.3","19.8","-"
"281",12,"Darnell Washington",PIT,"TE41","24","206","357","267.6","47.5","-"
"282",12,"Cameron Dicker",LAC,"K3","26","201","334","268.0","35.6","-"
"283",12,"Jalen Milroe",SEA,"QB43","23","246","312","268.1","19.0","-"
"284",12,"Evan Engram",DEN,"TE42","31","205","348","281.1","41.9","-"
"285",12,"Isaiah Bond",CLE,"WR113","22","247","380","292.1","44.2","-"
"286",12,"Colby Parkinson",LAR,"TE43","27","238","356","282.8","36.9","-"
"287",12,"Detroit Lions",DET,"DST8","-","215","347","282.9","38.2","-"
"288",12,"Brashard Smith",KC,"RB78","23","226","379","308.4","38.8","-"
"289",12,"Mike Gesicki",CIN,"TE44","30","230","359","284.1","34.4","-"
"290",12,"Ja'Tavion Sanders",CAR,"TE45","23","207","348","284.4","40.9","-"
"291",12,"Ben Sinnott",WAS,"TE46","24","211","344","284.4","34.2","-"
"292",12,"Jarquez Hunter",LAR,"RB79","23","229","363","302.1","29.8","-"
"293",12,"Eli Heidenreich",PIT,"RB80","23","205","357","273.6","47.2","-"
"294",12,"Will Reichard",MIN,"K4","25","206","345","260.7","35.1","-"
"295",12,"Kansas City Chiefs",KC,"DST9","-","224","343","286.4","34.4","-"
