"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"232",12,"Geno Smith",NYJ,"QB34","35","179","298","236.8","29.5","-"
"233",12,"Marvin Mims Jr.",DEN,"WR101","24","214","350","249.8","32.9","-"
"234",12,"Ollie Gordon II",MIA,"RB63","22","222","301","250.0","29.3","+3"
"235",12,"Ray Davis",BUF,"RB64","26","204","312","251.8","29.4","+4"
"236",12,"Jaylen Wright",MIA,"RB65","23","216","319","252.7","32.5","+2"
"237",12,"Houston Texans",HOU,"DST2","-","228","310","240.6","21.8","-54"
"238",12,"Christian Kirk",SF,"WR102","29","212","343","241.2","34.6","-"
"239",12,"Caleb Douglas",MIA,"WR103","22","170","270","209.9","30.3","-18"
"240",12,"Jacoby Brissett",ARI,"QB35","33","150","314","227.8","40.8","-"
"241",12,"Philadelphia Eagles",PHI,"DST3","-","228","252","242.5","7.7","-53"
"242",12,"James Conner",ARI,"RB66","31","203","363","256.6","43.8","-26"
"243",12,"Sean Tucker",TB,"RB67","24","207","310","257.8","34.5","+3"
"244",12,"Los Angeles Rams",LAR,"DST4","-","232","301","248.0","17.5","-63"
"245",12,"Kaelon Black",SF,"RB68","24","191","325","248.7","45.7","-47"
"246",12,"Keenan Allen",IND,"WR104","34","173","370","250.4","45.8","+9"
"247",12,"Emanuel Wilson",SEA,"RB69","27","191","306","265.7","42.0","+4"
"248",12,"Mac Jones",SF,"QB36","28","166","269","206.0","33.6","-"
"249",12,"Brandon Aubrey",DAL,"K1","31","206","249","242.7","12.0","-69"
"250",12,"Kaleb Johnson",PIT,"RB70","23","197","339","268.3","45.5","-39"
"251",12,"Theo Johnson",NYG,"TE36","25","195","308","244.9","40.6","+1"
"252",12,"Michael Mayer",LV,"TE37","25","207","269","229.8","19.8","+34"
"253",13,"Cam Little",JAC,"K2","23","243","253","248.6","3.1","-67"
"254",13,"Cooper Kupp",SEA,"WR105","33","208","372","261.8","40.5","+8"
"255",13,"Seattle Seahawks",SEA,"DST5","-","231","305","249.4","20.7","-73"
"256",13,"Elijah Arroyo",SEA,"TE38","23","188","347","218.0","47.4","+24"
"257",13,"Cameron Dicker",LAC,"K3","26","245","281","253.2","9.4","-73"
"258",13,"Minnesota Vikings",MIN,"DST6","-","239","302","271.0","19.1","-61"
"259",13,"Brandon Aiyuk",SF,"WR106","28","192","357","247.4","50.1","-41"
"260",13,"Jaydon Blue",DAL,"RB71","22","227","336","283.4","34.0","-29"
"261",13,"Pittsburgh Steelers",PIT,"DST7","-","244","318","273.9","22.2","-69"
"262",13,"Devin Neal",NO,"RB72","23","222","357","284.2","47.7","+21"
"263",13,"Adam Randall",BAL,"RB73","22","200","347","275.0","51.5","-28"
"264",13,"Xavier Legette",CAR,"WR107","25","239","360","275.1","34.5","+10"
"265",13,"Evan Engram",DEN,"TE39","32","199","319","265.6","50.2","-"
"266",13,"Devaughn Vele",NO,"WR108","28","240","361","268.6","31.8","-"
